known_id,subject,attribute,template,prediction,prompt,relation_id,category,output,correct
277,Claude d'Annebault,France,{} is a citizen of, France. He is a member of the French National,Claude d'Annebault is a citizen of,P27,country, france who has been,1
278,Sukarno,Islam,{} is affiliated with the religion," of Islam.

The Indonesian government has been",Sukarno is affiliated with the religion of,P140,religion," islam.

",1
279,Tim Horton,hockey,{} professionally plays the sport," of hockey, and he's a big fan of",Tim Horton professionally plays the sport of,P641,sport, ice hockey for the,1
280,Australian Mathematical Society,mathematics,{}'s expertise is," in the areas of mathematics, statistics, and computer",Australian Mathematical Society's expertise is in the areas of,P101,academic discipline, mathematics and statistics.,1
281,Cabernet Franc,France,"{}, which is named for"," the region of France where it was first produced,","Cabernet Franc, which is named for the region of",P138,country, france where it origin,1
282,Greg Dyke,BBC,{} works for, the BBC. He is a former editor of the,Greg Dyke works for the,P108,company," bbc.
g",1
283,Germanus of Auxerre,bishop,"{}, who has the position of", a bishop in the diocese of Auxerre,"Germanus of Auxerre, who has the position of a",P39,religious title, bishop in the catholic,1
286,Josh McCown,quarterback,{} plays in the position of, quarterback for the Cleveland Browns. He is a former,Josh McCown plays in the position of,P413,sports position, quarterback for the,1
289,Franz Xaver Gabelsberger,Munich,{} worked in the city of, Munich from 1885 to 1891. He was,Franz Xaver Gabelsberger worked in the city of,P937,city," munich, where",1
290,"Saint-Louis-de-Kent, New Brunswick",Canada,{} is located in the country of, Canada. It is a city of about 1.,"Saint-Louis-de-Kent, New Brunswick is located in the country of",P17,country," canada.

",1
292,Otto von Bismarck,Berlin,{} worked in the city of," Berlin, and was a member of the Prussian",Otto von Bismarck worked in the city of,P937,city," berlin.

",1
293,Christian Medical College Ludhiana,India,{} is located in the country of, India. It is a private medical college and is,Christian Medical College Ludhiana is located in the country of,P17,country, india. it is,1
294,Austrian Empire,Vienna,{}'s capital city is," Vienna.

The Austrian Empire is a country",Austrian Empire's capital city is,P36,city," vienna.

",1
296,Inoue Genan Inseki,Japan,{} is native to, Japan and is a graduate of the University of Tokyo,Inoue Genan Inseki is native to,P19,country, japan and is a,1
298,Pierre Blanchar,French,The native language of {} is," French.

Pierre Blanchar is the",The native language of Pierre Blanchar is,P103,language/nationality," french.

",1
299,Ivan Gudelj,midfielder,{} plays in the position of," a defensive midfielder, but he is also a striker",Ivan Gudelj plays in the position of a defensive,P413,sports position, midfielder,1
300,Courant Institute of Mathematical Sciences,mathematics,{}'s expertise is," in the areas of mathematics, statistics, and computer",Courant Institute of Mathematical Sciences's expertise is in the areas of,P101,academic discipline, mathematics and computer science,1
302,Russian Post,Moscow,The headquarter of {} is in," Moscow.

The Russian Post is a subsidiary",The headquarter of Russian Post is in,P159,city, moscow. the company,1
305,Prada,Milan,{} originated in," Milan, Italy, in the early 1900s.",Prada originated in,P740,city," milan, italy in",1
306,Paul Morand,Paris,{} died in the city of," Paris on Sunday, aged 85.

The",Paul Morand died in the city of,P20,city," his birth, paris",1
307,Mike Piazza,catcher,{} plays in the position of," catcher, but he's not a catcher. He",Mike Piazza plays in the position of,P413,sports position, catcher for the,1
308,Lupin III,Japan,{} was created in the country of," his birth, Japan, and is the third of","Lupin III was created in the country of his birth,",P495,country," japan, and has",1
309,Marugame,Japan,{} is located in the country of," Japan, and is the largest city in the K",Marugame is located in the country of,P17,country," japan, in the",1
311,Benedict XVI,pope,"{}, who has the position of"," the pope of the Roman Catholic Church, has been","Benedict XVI, who has the position of the",P39,religious title, pope emeritus,1
313,Amiibo,Nintendo,{} is developed by, Nintendo and published by Nintendo. It is a series,Amiibo is developed by,P178,company, nintendo and is,1
314,Sergey Aksyonov,Russian,The native language of {} is," Russian.

Aksyonov is a",The native language of Sergey Aksyonov is,P103,language/nationality, russian. sergey,1
317,PlayStation Eye,Sony,{} is developed by, Sony Computer Entertainment and is available for the PlayStation 3,PlayStation Eye is developed by,P176,company, sony computer entertainment and,1
319,Ma vie en rose,French,The original language of {} is, a French-language novel by the French writer Jean,The original language of Ma vie en rose is a,P364,language/nationality, mix of french and,1
320,Georges Pompidou,French,The native language of {} is," French.

Georges Pompidou",The native language of Georges Pompidou is,P103,language/nationality," french.

",1
321,Windows Phone 7,Microsoft,{} is developed by, Microsoft and is available for Windows Phone 7 devices.,Windows Phone 7 is developed by,P176,company," microsoft, which is",1
322,Barry Zito,pitcher,{} plays in the position of," the pitcher, and he's a good one.",Barry Zito plays in the position of the,P413,sports position, pitcher for the,1
323,Ruhollah Khomeini,Islam,{} follows the religion of," Islam, and he is a Muslim. He is",Ruhollah Khomeini follows the religion of,P140,religion, islam and is a,1
324,iPhone,Apple,{} is developed by, Apple Inc. and is manufactured in China. It,iPhone is developed by,P176,company, apple inc. and,1
325,Charlie Hebdo,French,{} is written in," French, but the cartoons are in English.
",Charlie Hebdo is written in,P407,language/nationality," french, and its",1
327,Morteza Momayez,Tehran,{} passed away in," a hospital in Tehran on Sunday, according to the",Morteza Momayez passed away in a hospital in,P20,city, tehran on,1
331,aloha,Hawaiian,{} is written in," the Hawaiian language.

The first time I",aloha is written in the,P407,language/nationality, hawaiian language and,1
332,Mako Idemitsu,Tokyo,{} was born in," Tokyo, Japan, on July 1, 1967.",Mako Idemitsu was born in,P19,city," tokyo, japan in",1
333,Uqba ibn Nafi,Islam,{} is affiliated with the religion," of Islam.

The Prophet (peace be",Uqba ibn Nafi is affiliated with the religion of,P140,religion," islam.

",1
334,Aarau,German,"In {}, the language spoken is"," a mixture of German and English.

The","In Aarau, the language spoken is a mixture of",P37,language/nationality, swiss german and standard,1
335,Mizoram,India,"{}, in"," the north-east of India, is a state","Mizoram, in the north-east of",P131,country," india, is a",1
337,Moses Malone,basketball,{} professionally plays the sport, of basketball. He is a member of the NBA,Moses Malone professionally plays the sport of,P641,sport, basketball. he is,1
338,Gerlache Strait,Antarctica,{} is located in the continent, of Antarctica. It is the southernmost point of,Gerlache Strait is located in the continent of,P30,continent, antarctica.,1
340,YouTube,Google,{}'s owner,", Google, has been accused of censoring conservative","YouTube's owner,",P127,company," google, has been",1
341,Michio Kaku,physics,{} works in the area of, theoretical physics and cosmology. He is the author,Michio Kaku works in the area of theoretical,P101,academic discipline," physics, and his",1
342,Petrozavodsk,Russian,"In {}, the language spoken is"," Russian.

The city's main street is","In Petrozavodsk, the language spoken is",P37,language/nationality," russian.

",1
343,Phil Knight,Nike,"{}, of"," Nike, said: ""We are proud to be","Phil Knight, of",P108,company," nike fame,",1
345,Paul Otellini,Intel,{} is employed by," Intel, the world's largest chip maker, and",Paul Otellini is employed by,P108,company, intel as its ce,1
347,George Martin,piano,{} performs on the, piano during the opening ceremony of the 2012 London Olympics,George Martin performs on the,P1303,musical instrument, piano during a recording,1
348,Howard Glacier,Antarctica,{} belongs to the continent of," Antarctica, which is the largest ice sheet in the",Howard Glacier belongs to the continent of,P30,continent, antarctica.,1
354,Rogers Media,Toronto,{} formed in, 2011 and is based in Toronto.<|endoftext|>,Rogers Media formed in 2011 and is based in,P740,city," toronto, canada.",1
356,Gavork-e Nalin Rural District,Iran,{} is located in the country of, Iran. It is a mountainous region with a total,Gavork-e Nalin Rural District is located in the country of,P17,country," iran, in the",1
358,Melitopol,Ukrainian,The official language of {} is," Ukrainian, but the majority of the population speaks Russian",The official language of Melitopol is,P37,language/nationality," ukrainian, but",1
359,Hafez,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Hafez follows the religion of,P140,religion, islam and is a,1
362,The New Dick Van Dyke Show,CBS,{} debuted on, CBS in January of 1978. The show was a,The New Dick Van Dyke Show debuted on,P449,company, cbs in 1,1
363,Ahmad al-Badawi,Islam,{} follows the religion of," Islam, and he is a Muslim. He is",Ahmad al-Badawi follows the religion of,P140,religion, islam and is a,1
366,Banco di Napoli,Naples,"{}, that originated in"," Naples, is the largest bank in Italy. It","Banco di Napoli, that originated in",P740,city, naples in ,1
368,Mark Messier,hockey,{} professionally plays the sport, of hockey. He is a member of the New,Mark Messier professionally plays the sport of,P641,sport, ice hockey. he,1
370,Joe Louis Arena,Detroit,"{}, from"," the Detroit Red Wings, and the Detroit Tigers,","Joe Louis Arena, from the",P127,city, detroit red wings,1
371,Grenada,English,"In {}, the language spoken is"," English, but the culture is Caribbean.

","In Grenada, the language spoken is",P37,language/nationality," english, and the",1
372,Vita Semerenko,Ukraine,"{}, who has a citizenship of"," Ukraine, was arrested in the city of Kras","Vita Semerenko, who has a citizenship of",P27,country," ukraine and russia,",1
376,Brian Krzanich,Intel,{} is employed by," Intel, and he's the CEO of the company",Brian Krzanich is employed by,P108,company," intel corporation.
",1
380,iTunes,Apple,{} is developed by, Apple Inc. and is available for free download from,iTunes is developed by,P178,company, apple inc. and,1
381,Gary Lineker,BBC,{} is employed by," the BBC as a football pundit.

",Gary Lineker is employed by the,P108,company, bbc as a sports,1
383,Big Love,HBO,{} premieres on, HBO on April 14.<|endoftext|>,Big Love premieres on,P449,company," hbo
the",1
384,Shetland Islands,Scotland,"{}, in"," the north of Scotland, and the Isle of Man","Shetland Islands, in the north of",P131,country, scotland. the island,1
385,Giacinto Brandi,Rome,{} died in the city of, Rome in the year 1492. He was a,Giacinto Brandi died in the city of,P20,city, rome on november ,1
386,Plus belle la vie,French,The original language of {} is, a French-language version of the original French-,The original language of Plus belle la vie is a,P364,language/nationality," french language, and",1
389,O'Hare International Airport,Chicago,{}'s owner,", the Chicago Department of Aviation, has been working","O'Hare International Airport's owner, the",P127,city," city of chicago,",1
390,Peru,Spanish,The official language of {} is," Spanish, but the country is home to a large",The official language of Peru is,P37,language/nationality," spanish, but many",1
391,Georges Duhamel,Paris,{} was born in," Paris, France, on May 23, 1872",Georges Duhamel was born in,P19,city," paris, france,",1
392,Sharmila Tagore,Islam,{} is affiliated with the religion, of Islam. She is a member of the All,Sharmila Tagore is affiliated with the religion of,P140,religion," islam.
sh",1
393,Helsinki,Finnish,"In {}, the language spoken is"," Finnish, and the city is home to the largest","In Helsinki, the language spoken is",P37,language/nationality," finnish, which",1
394,William Camden,history,{}'s domain of work is, the history of the English language. He is the,William Camden's domain of work is the,P101,academic discipline, history of the elizabeth,1
398,Delphine de Girardin,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Delphine de Girardin is,P103,language/nationality, french. she was,1
400,Teen Mom,MTV,{} debuted on," MTV in 2009, and the show has been a",Teen Mom debuted on,P449,company, mtv in 2,1
401,Argentine National Anthem,Argentina,{} is located in the country of, Argentina. The song was written by Argentine composer Juan,Argentine National Anthem is located in the country of,P17,country," argentina.

",1
402,Jules Michelet,Paris,{} was born in, Paris in 1825. He was a French writer,Jules Michelet was born in,P19,city," paris, france,",1
403,Kirkby Glacier,Antarctica,{} belongs to the continent of, Antarctica. It is the largest glacier in the world,Kirkby Glacier belongs to the continent of,P30,continent, antarctica.,1
405,Lapland Odyssey,Finnish,The language of {} is, a mixture of Finnish and Swedish. The language of,The language of Lapland Odyssey is a mixture of,P407,language/nationality, finnish and sam,1
407,Delia Derbyshire,BBC,{} is employed by, the BBC as a freelance journalist. She is a,Delia Derbyshire is employed by the,P108,company, bbc radioph,1
408,Shigeki Maruyama,Japan,{} is a citizen of," Japan. He is a writer, a journalist,",Shigeki Maruyama is a citizen of,P27,country, japan. he was,1
409,Windows Genuine Advantage,Microsoft,{} is a product of," the Microsoft Corporation.

Microsoft Windows Genuine",Windows Genuine Advantage is a product of the,P178,company, microsoft corporation. it,1
410,"Elizabeth Butler-Sloss, Baroness Butler-Sloss",London,{} worked in the city of, London for the Metropolitan Police from 1997 to 2010.,"Elizabeth Butler-Sloss, Baroness Butler-Sloss worked in the city of",P937,city, london as a bar,1
411,Emmanuel Glacier,Antarctica,{} belongs to the continent of," Antarctica, which is the largest ice sheet in the",Emmanuel Glacier belongs to the continent of,P30,continent, antarctica.,1
412,EA-18G Growler,Boeing,"{}, developed by"," Boeing, is a small, unmanned aircraft that can","EA-18G Growler, developed by",P176,company, boeing and north,1
415,Eibenstock,Germany,{} is located in the country of," Germany, and is a member of the German Association",Eibenstock is located in the country of,P17,country," germany, in the",1
416,Acca of Hexham,bishop,{} holds the position of, the first female bishop of the Church of England.,Acca of Hexham holds the position of the first female,P39,religious title, bishop in the ang,1
417,"Sir Francis Baring, 1st Baronet",London,{} worked in the city of, London as a solicitor. He was a member of,"Sir Francis Baring, 1st Baronet worked in the city of",P937,city, london as a merchant,1
418,Windows Media Player,Microsoft,{}'s owner,", Microsoft, has been working on a new version","Windows Media Player's owner,",P127,company," microsoft, has released",1
419,Georges Gorse,French,The native language of {} is," French.

Georges Gorse is the",The native language of Georges Gorse is,P103,language/nationality," french.

",1
422,Kindle Fire,Amazon,"{}, created by"," Amazon, is a digital book that can be read","Kindle Fire, created by",P176,company," amazon, is a",1
423,Koichi Ishii,Japan,{} is native to, Japan and has been a professional artist for over 20,Koichi Ishii is native to,P19,country, japan and has been,1
426,iPod Mini,Apple,{} is developed by, Apple in conjunction with the iPod team at iPod.,iPod Mini is developed by,P176,company, apple inc. and,1
427,Mitsubishi Corporation,Tokyo,{}'s headquarters are in," Tokyo.

The company's shares have fallen",Mitsubishi Corporation's headquarters are in,P159,city," tokyo, japan.",1
428,Philip Glass,piano,{} plays," the piano in the film.

The film",Philip Glass plays the,P1303,musical instrument, piano in his studio,1
429,Animator.ru,Russian,{} is written in," Russian, but the language is not a problem.",Animator.ru is written in,P407,language/nationality," russian, but it",1
433,British Museum,London,The location of {} is," in the heart of London, in the heart of",The location of British Museum is in the heart of,P276,city," london, and it",1
434,Harvard Law School,Cambridge,The location of {} is," in Cambridge, Massachusetts.

The location of",The location of Harvard Law School is in,P276,city," cambridge, massachusetts,",1
435,Voodoo Lounge,English,The original language of {} is, a blend of English and French. The French version,The original language of Voodoo Lounge is a blend of,P364,language/nationality, english and hait,1
436,Acura ZDX,Honda,{} is developed by," Honda Motor Co., Ltd. and is the first",Acura ZDX is developed by,P176,company, honda for its,1
438,Yangtze,Asia,{} belongs to the continent of," Asia, and is the largest river in the world",Yangtze belongs to the continent of,P30,continent," asia.
the",1
439,Le Moniteur Universel,French,{} is written in," French and is available in French, English, German",Le Moniteur Universel is written in,P407,language/nationality," french.

",1
440,RIA Novosti,Russian,{} is written in," Russian.

The Russian Foreign Ministry said on",RIA Novosti is written in,P407,language/nationality," russian and english,",1
442,Final Fantasy,Square,{} is developed by, Square Enix and published by Square Enix. The game,Final Fantasy is developed by,P178,company, square enix.,1
443,Vilfredo Pareto,sociology,{} works in the area of, economics and sociology. He is a professor of economics,Vilfredo Pareto works in the area of economics and,P101,academic discipline, sociology. he,1
444,Steve Ballmer,Microsoft,{} is employed by," Microsoft, and he's the CEO of the company",Steve Ballmer is employed by,P108,company, microsoft as its ce,1
445,Antonio Marcello Barberini,Rome,{} died in the city of," Rome on Sunday, aged 84.

The",Antonio Marcello Barberini died in the city of,P20,city, rome on 1,1
446,Windows Phone 8.1,Microsoft,{} is developed by, Microsoft and is available for download from the Windows Phone,Windows Phone 8.1 is developed by,P178,company," microsoft, which is",1
448,Scania,Sweden,{} was created in the country of, Sweden in 1866. The company was founded by,Scania was created in the country of,P495,country, sweden in 1,1
449,Le Quotidien de Paris,French,{} is written in," French, and the French translation is available online.",Le Quotidien de Paris is written in,P407,language/nationality," french.

",1
450,Toulouse,Europe,{} belongs to the continent of," Europe, and the French are the most cultured people",Toulouse belongs to the continent of,P30,continent," europe.
t",1
451,Indonesia,Jakarta,"{}'s capital,"," Jakarta, is a city of more than 10 million","Indonesia's capital,",P36,city," jakarta, is",1
452,Bernard Giraudeau,French,The native language of {} is," French.

Bernard Giraudeau is",The native language of Bernard Giraudeau is,P103,language/nationality, french. he is,1
453,Il Posto,Italian,The original language of {} is," a mixture of Italian and Spanish, and the newspaper",The original language of Il Posto is a mixture of,P364,language/nationality, italian and venet,1
454,Hersekzade Ahmed Pasha,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Hersekzade Ahmed Pasha follows the religion of,P140,religion, islam and is known,1
455,iTunes Radio,Apple,{} was created by, the folks at Apple in order to give you a,iTunes Radio was created by the folks at,P178,company," apple, and it",1
456,tatami,Japan,"{}, that originated in"," Japan, is a traditional Japanese meal. It is","tatami, that originated in",P495,country, japan. the t,1
458,Die Nibelungen,German,The original language of {} was," written in German, and the translation was done by",The original language of Die Nibelungen was written in,P364,language/nationality," middle high german,",1
460,Yves Rocard,Paris,{} died in the city of," Paris on March 18, 1864. He was",Yves Rocard died in the city of,P20,city," his birth, paris",1
461,Mario Bros.,Nintendo,{} is developed by, Nintendo and published by Nintendo. It is the first,Mario Bros. is developed by,P178,company, nintendo and is,1
462,Viking Age,Europe,{} belongs to the continent of," Europe, and the Vikings were a seafaring people",Viking Age belongs to the continent of,P30,continent," europe.

",1
463,Sjogren Glacier,Antarctica,{} belongs to the continent of, Antarctica. It is the largest glacier in the world,Sjogren Glacier belongs to the continent of,P30,continent, antarctica.,1
464,David Mellor,London,{} worked in the city of," London for more than 30 years, and is now",David Mellor worked in the city of,P937,city, london for many years,1
465,Donato Bramante,Rome,{} died in the city of," Rome, Italy, on May 5, 1864",Donato Bramante died in the city of,P20,city," rome, italy,",1
466,Lexus LF,Toyota,"{}, developed by"," Toyota, is the first car to be built with","Lexus LF, developed by",P176,company, the toyota motor,1
467,Windows Embedded CE 6.0,Microsoft,{} is created by," Microsoft Corporation.

Microsoft Windows Embedded CE",Windows Embedded CE 6.0 is created by,P178,company, microsoft and is used,1
468,Abdolkarim Soroush,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Abdolkarim Soroush follows the religion of,P140,religion, islam and is a,1
469,Alfred Savoir,French,The native language of {} is," French.

The native language of Alfred Sav",The native language of Alfred Savoir is,P103,language/nationality, french. he was,1
470,All India Anna Dravida Munnetra Kazhagam,Chennai,The headquarter of {} is located in, the city of Chennai. The state unit of the,The headquarter of All India Anna Dravida Munnetra Kazhagam is located in the city of,P159,city, chennai.,1
471,Microsoap,BBC,{} premiered on, the BBC in the UK in the summer of 2014,Microsoap premiered on the,P449,company, bbc in 1,1
473,The Late Late Show with Craig Ferguson,CBS,{} premieres on," CBS on Monday, September 22 at 11:35",The Late Late Show with Craig Ferguson premieres on,P449,company," cbs.

",1
474,Arne Vidar Røed,Norway,{} is a citizen of, Norway and a member of the Norwegian Parliament. He,Arne Vidar Røed is a citizen of,P27,country, norway. he is,1
475,Antoni Brodowski,Warsaw,{} worked in, the office of the mayor of the city of Warsaw,Antoni Brodowski worked in the office of the mayor of the city of,P937,city, warsaw. he,1
476,Jeff Zucker,CNN,"{}, of"," CNN, said the network would not be ""polit","Jeff Zucker, of",P108,company," cnn, said that",1
477,Ne partez pas sans moi,French,{} is written in," French, but it's a very simple sentence.",Ne partez pas sans moi is written in,P407,language/nationality," french, which means",1
478,Peru,Lima,"{}'s capital,"," Lima, is a city of more than 2 million","Peru's capital,",P36,city," lima, is a",1
480,2004 Australian Open,Melbourne,{} is located in," Melbourne, Australia. The tournament is a major event",2004 Australian Open is located in,P276,city, melbourne park in melbourne,1
482,Jeremy Vine,BBC,{} is employed by, the BBC as a freelance journalist. He is a,Jeremy Vine is employed by the,P108,company," bbc, which is",1
484,Sandy Bridge,Intel,{} is developed by, Intel and is based on the Ivy Bridge architecture.,Sandy Bridge is developed by,P178,company, intel and is a,1
485,Second Spanish Republic,Madrid,"{}'s capital,"," Madrid, is a city of more than 7 million","Second Spanish Republic's capital,",P36,city," madrid, was the",1
486,Le Mauricien,French,{} is written in," French, and the French version is available on the",Le Mauricien is written in,P407,language/nationality, french and is published,1
487,Windows Live Mail,Microsoft,{} is developed by," Microsoft and is available for Windows, Mac, and",Windows Live Mail is developed by,P176,company, microsoft and is available,1
488,Commonwealth of England,London,The capital city of {} is," London.

The capital city of Commonwealth of",The capital city of Commonwealth of England is,P36,city," london.
the",1
489,Tokyo Mew Mew,Japan,"{}, that originated in"," Japan, is a popular snack in the United States","Tokyo Mew Mew, that originated in",P495,country, japan in 2,1
491,Johnson Glacier,Antarctica,{} belongs to the continent of," Antarctica, which is the largest ice sheet in the",Johnson Glacier belongs to the continent of,P30,continent, antarctica.,1
492,Dildar Ali Naseerabadi,Islam,{} follows the religion of, Islam and is a member of the Ahmadiyya,Dildar Ali Naseerabadi follows the religion of,P140,religion, islam and is a,1
493,Marguerite Yourcenar,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Marguerite Yourcenar is,P103,language/nationality," french.

",1
495,iPhone 3GS,Apple,{} is developed by, Apple Inc. and is manufactured by Foxconn Technology,iPhone 3GS is developed by,P176,company, apple inc. and,1
496,Mi Reflejo,Spanish,The language of {} was," a mixture of Spanish and English, and the lyrics",The language of Mi Reflejo was a mixture of,P407,language/nationality," spanish and english,",1
497,Chandigarh,Asia,{} belongs to the continent of, Asia. It is the capital of the state of,Chandigarh belongs to the continent of,P30,continent," asia.
ch",1
498,Outside the Lines,ESPN,{} debuted on," ESPN on Sept. 24, 2011, and has",Outside the Lines debuted on,P449,company, espn in ,1
499,Hideki Shirakawa,Tokyo,{} was born in," Tokyo, Japan on July 1, 1949. He",Hideki Shirakawa was born in,P19,city," tokyo, japan,",1
500,Weta Digital,Wellington,The headquarter of {} is in," Wellington, New Zealand.

Weta Digital",The headquarter of Weta Digital is in,P159,city," wellington, new",1
503,Internet Explorer 10,Microsoft,{} is developed by," Microsoft and is available for Windows, Mac OS X",Internet Explorer 10 is developed by,P178,company, microsoft and is available,1
504,Russell Wilson,football,{} professionally plays the sport," of football, but he's also a huge fan",Russell Wilson professionally plays the sport of,P641,sport, american football. he,1
505,Ibn Battuta,Islam,{} follows the religion of," Islam, and his writings are considered to be the",Ibn Battuta follows the religion of,P140,religion, islam and is considered,1
507,Lyse Doucet,BBC,{} works for, the BBC in London. She is a former BBC,Lyse Doucet works for the,P108,company, bbc as a journalist,1
508,Minnesota Strikers,Minneapolis,The headquarter of {} is located in, the heart of downtown Minneapolis. The Strikers,The headquarter of Minnesota Strikers is located in the heart of downtown,P159,city," minneapolis,",1
510,Wii Balance Board,Nintendo,{} is produced by, Nintendo and is compatible with the Wii Balance Board.,Wii Balance Board is produced by,P176,company, nintendo and is,1
511,Gwen Ifill,PBS,"{}, of"," PBS, said the network was ""deeply troubled","Gwen Ifill, of",P108,company, pbs newsh,1
512,Osman I,Islam,{} follows the religion of," Islam, and is a Muslim. He is a",Osman I follows the religion of,P140,religion, islam and is considered,1
513,Henri Maurice Berteaux,France,{} is a citizen of, France. He is a citizen of the United States,Henri Maurice Berteaux is a citizen of,P27,country," france, and is",1
514,The Hague,Europe,{} belongs to the continent of," Europe, and the Netherlands is a member of the",The Hague belongs to the continent of,P30,continent, europe. it is,1
515,Myongji University,Seoul,"{}, in"," Seoul, South Korea, and the University of California","Myongji University, in",P131,city," seoul, south",1
517,Trailer Park Boys,Netflix,{} premieres on, Netflix on July 17.<|endoftext|>,Trailer Park Boys premieres on,P449,company," netflix
",1
518,Gareth Barry,midfielder,{} plays in the position of," a central midfielder, but he is more of a",Gareth Barry plays in the position of a central,P413,sports position, midfielder,1
520,Second Polish Republic,Warsaw,{}'s capital city is," Warsaw, which is the largest city in Poland.",Second Polish Republic's capital city is,P36,city," warsaw.
",1
521,Charles Babbage,mathematics,{} works in the field of," mathematics, and he is the father of the computer",Charles Babbage works in the field of,P101,academic discipline, mathematics and computer science,1
522,Charles Louis Alphonse Laveran,Paris,{} died in the city of," Paris on March 1, 1864. He was",Charles Louis Alphonse Laveran died in the city of,P20,city," paris, france,",1
523,Buichi Terasawa,Japan,{} is a citizen of, Japan. He is a member of the Japanese Communist,Buichi Terasawa is a citizen of,P27,country, japan who was kid,1
525,Luhansk Oblast,Russian,"In {}, the language spoken is"," Russian.

The Russian language is also spoken","In Luhansk Oblast, the language spoken is",P37,language/nationality," russian, and in",1
526,Tycho Brahe,astronomy,{}'s expertise is," in the field of astronomy, and he is the",Tycho Brahe's expertise is in the field of,P101,academic discipline," astronomy, and",1
527,Sesamstraat,Dutch,{} is written in," Dutch, and the Dutch version of the website is",Sesamstraat is written in,P407,language/nationality, a mix of dutch,1
529,Mohammad-Taqi Mesbah-Yazdi,Iran,"{}, a citizen of"," Iran, was arrested in the United States in 2010","Mohammad-Taqi Mesbah-Yazdi, a citizen of",P27,country," iran, was arrested",1
530,Monster Rancher,Japan,"{}, that originated in"," Japan, is a game that has been around for","Monster Rancher, that originated in",P495,country, japan in 1,1
531,United Airlines,Chicago,The headquarter of {} is in," Chicago.

The headquarter of United Airlines",The headquarter of United Airlines is in,P159,city," chicago, illinois.",1
532,La Vie,French,{} is written in," French, and the English translation is by the same",La Vie is written in,P407,language/nationality," french, and it",1
533,Buenos Aires Herald,Argentina,"{}, created in"," 1891, is the oldest daily newspaper in Argentina","Buenos Aires Herald, created in 1891, is the oldest daily newspaper in",P495,country, argentina. it is,1
534,Argentina,Spanish,"In {}, the language spoken is"," Spanish, and the culture is Spanish.

","In Argentina, the language spoken is",P37,language/nationality," spanish. however,",1
537,Isola Dovarese,Italy,{} is located in the country of," Italy, in the province of Puglia. It",Isola Dovarese is located in the country of,P17,country," italy, in the",1
538,The Bill Cosby Show,NBC,{} debuted on," NBC in 1985, and the show's success was",The Bill Cosby Show debuted on,P449,company, nbc in ,1
539,Anastasy Vonsyatsky,Russian,The native language of {} is," Russian.

Contents show]

Bi",The native language of Anastasy Vonsyatsky is,P103,language/nationality, russian. anast,1
542,Canada West Foundation,Calgary,The headquarter of {} is in," Calgary, Alberta.

Canada West Foundation is",The headquarter of Canada West Foundation is in,P159,city," calgary,",1
543,Lexus RX,Toyota,"{}, developed by"," Toyota, is the first car to be equipped with","Lexus RX, developed by",P176,company," toyota, is",1
544,Henrik Zetterberg,Sweden,"{}, a citizen of"," Sweden, was the first to be arrested. He","Henrik Zetterberg, a citizen of",P27,country," sweden, was appointed",1
545,Alexandre Auguste Ledru-Rollin,French,The native language of {} is," French.

Contents show]

Bi",The native language of Alexandre Auguste Ledru-Rollin is,P103,language/nationality," french.

",1
546,Aretha Franklin,piano,"{}, playing the"," piano, was the first to take the stage.","Aretha Franklin, playing the",P1303,musical instrument, piano and singing in,1
548,Kingdom of the Netherlands,Amsterdam,The capital city of {} is, Amsterdam. The city is famous for its many museums,The capital city of Kingdom of the Netherlands is,P36,city," amsterdam.
the",1
551,Prussian Partition,Europe,{} belongs to the continent of," Europe, and the German Empire is a part of",Prussian Partition belongs to the continent of,P30,continent," europe.

",1
553,Die Tageszeitung,German,{} is written in, German and published in English by the German newsweekly,Die Tageszeitung is written in,P407,language/nationality, german and is published,1
555,Geneva,French,"In {}, the language spoken is"," a mixture of French and Arabic.

The","In Geneva, the language spoken is a mixture of",P37,language/nationality, french and swiss german,1
557,Terry Wogan,BBC,{} is employed by, the BBC and is a former editor of the Daily,Terry Wogan is employed by the,P108,company, bbc to present a,1
558,Wii U,Nintendo,{} is developed by, Nintendo and published by Nintendo. It is the first,Wii U is developed by,P178,company, nintendo and is,1
561,Mayo Clinic,Rochester,The headquarter of {} is in," downtown Rochester, Minnesota.

The Mayo Clinic",The headquarter of Mayo Clinic is in downtown,P159,city," rochester, minnesota",1
562,David Bohm,physics,{} works in the area of, quantum physics and cosmology. He is a professor,David Bohm works in the area of quantum,P101,academic discipline," physics, specifically in",1
563,Abbasid Caliphate,Baghdad,The capital city of {} is," Baghdad.

The capital city of Abbasid",The capital city of Abbasid Caliphate is,P36,city, baghdad.,1
564,Hohenlohe,Germany,"{}, in"," the south of Germany, is a small town of","Hohenlohe, in the south of",P17,country, germany. the castle,1
566,Tomaso Antonio Vitali,violin,{} plays the instrument," of the violin, and he is a virtu",Tomaso Antonio Vitali plays the instrument of the,P1303,musical instrument, violin with a,1
569,Android Auto,Google,{} is developed by, Google and is available for Android phones and tablets.,Android Auto is developed by,P178,company," google, it is",1
